county,town,census_2010,proj_2020,pct_change_2020,proj_2030,pct_change_2030
ADDISON,ADDISON,1371,1444,5.3,1459,6.4
ADDISON,BRIDPORT,1218,1203,-1.2,1168,-4.1
ADDISON,BRISTOL,3894,3850,-1.1,3749,-3.7
ADDISON,CORNWALL,1185,1187,0.2,1167,-1.5
ADDISON,FERRISBURGH,2775,2860,3.1,2859,3.0
ADDISON,GOSHEN,164,138,-15.9,120,-26.8
ADDISON,GRANVILLE,298,286,-4.0,273,-8.4
ADDISON,HANCOCK,323,300,-7.1,279,-13.6
ADDISON,LEICESTER,1100,1171,6.5,1200,9.1
ADDISON,LINCOLN,1271,1342,5.6,1362,7.2
ADDISON,MIDDLEBURY,8496,8465,-0.4,8287,-2.5
ADDISON,MONKTON,1980,2138,8.0,2208,11.5
ADDISON,NEW HAVEN,1727,1800,4.2,1812,4.9
ADDISON,ORWELL,1250,1269,1.5,1258,0.6
ADDISON,PANTON,677,677,0.0,663,-2.1
ADDISON,RIPTON,588,625,6.3,637,8.3
ADDISON,SALISBURY,1136,1147,1.0,1132,-0.4
ADDISON,SHOREHAM,1265,1282,1.3,1268,0.2
ADDISON,STARKSBORO,1777,1785,0.5,1747,-1.7
ADDISON,VERGENNES,2588,2489,-3.8,2373,-8.3
ADDISON,WALTHAM,486,483,-0.6,472,-2.9
ADDISON,WEYBRIDGE,833,835,0.2,820,-1.6
ADDISON,WHITING,419,422,0.7,417,-0.5
BENNINGTON,ARLINGTON,2317,2308,-0.4,2262,-2.4
BENNINGTON,BENNINGTON,15764,15644,-0.8,15321,-2.8
BENNINGTON,DORSET,2031,2064,1.6,2051,1.0
BENNINGTON,LANDGROVE,158,169,7.0,174,10.1
BENNINGTON,MANCHESTER,4391,4680,6.6,4798,9.3
BENNINGTON,PERU,375,384,2.4,381,1.6
BENNINGTON,POWNAL,3527,3538,0.3,3486,-1.2
BENNINGTON,READSBORO,763,756,-0.9,737,-3.4
BENNINGTON,RUPERT,714,734,2.8,735,2.9
BENNINGTON,SANDGATE,405,463,14.3,498,23.0
BENNINGTON,SEARSBURG,109,120,10.1,126,15.6
BENNINGTON,SHAFTSBURY,3590,3620,0.8,3572,-0.5
BENNINGTON,STAMFORD,824,842,2.2,840,1.9
BENNINGTON,SUNDERLAND,956,1012,5.9,1037,8.5
BENNINGTON,WINHALL,769,895,16.4,972,26.4
BENNINGTON,WOODFORD,424,457,7.8,471,11.1
BENNINGTON,GLASTENBURY,8,9,12.5,9,12.5
CALEDONIA,BARNET,1708,1779,4.2,1802,5.5
CALEDONIA,BURKE,1753,1883,7.4,1954,11.5
CALEDONIA,DANVILLE,2196,2247,2.3,2248,2.4
CALEDONIA,GROTON,1022,1098,7.4,1142,11.7
CALEDONIA,HARDWICK,3010,2952,-1.9,2874,-4.5
CALEDONIA,KIRBY,493,545,10.5,575,16.6
CALEDONIA,LYNDON,5981,6222,4.0,6322,5.7
CALEDONIA,NEWARK,581,688,18.4,763,31.3
CALEDONIA,PEACHAM,732,771,5.3,789,7.8
CALEDONIA,RYEGATE,1174,1198,2.0,1198,2.0
CALEDONIA,SHEFFIELD,703,743,5.7,758,7.8
CALEDONIA,SAINT JOHNSBURY,7603,7525,-1.0,7384,-2.9
CALEDONIA,STANNARD,216,244,13.0,263,21.8
CALEDONIA,SUTTON,1029,1075,4.5,1091,6.0
CALEDONIA,WALDEN,935,1040,11.2,1106,18.3
CALEDONIA,WATERFORD,1280,1343,4.9,1376,7.5
CALEDONIA,WHEELOCK,811,981,21.0,1107,36.5
CHITTENDEN,BOLTON,1182,1299,9.9,1385,17.2
CHITTENDEN,BURLINGTON,42417,43645,2.9,44375,4.6
CHITTENDEN,CHARLOTTE,3754,3945,5.1,4059,8.1
CHITTENDEN,COLCHESTER,17067,17621,3.2,17901,4.9
CHITTENDEN,ESSEX,19587,20556,4.9,21138,7.9
CHITTENDEN,HINESBURG,4396,4551,3.5,4632,5.4
CHITTENDEN,HUNTINGTON,1938,2037,5.1,2096,8.2
CHITTENDEN,JERICHO,5009,5173,3.3,5254,4.9
CHITTENDEN,MILTON,10352,11067,6.9,11531,11.4
CHITTENDEN,RICHMOND,4081,4143,1.5,4165,2.1
CHITTENDEN,SHELBURNE,7144,7512,5.2,7725,8.1
CHITTENDEN,SOUTH BURLINGTON,17904,20258,13.1,21973,22.7
CHITTENDEN,SAINT GEORGE,674,656,-2.7,642,-4.7
CHITTENDEN,UNDERHILL,3016,3059,1.4,3076,2.0
CHITTENDEN,WESTFORD,2029,2086,2.8,2110,4.0
CHITTENDEN,WILLISTON,8698,10420,19.8,11683,34.3
CHITTENDEN,WINOOSKI,7267,7573,4.2,7775,7.0
CHITTENDEN,BUELS GORE,30,89,196.7,198,560.0
ESSEX,BLOOMFIELD,221,192,-13.1,166,-24.9
ESSEX,BRIGHTON,1222,1069,-12.5,932,-23.7
ESSEX,BRUNSWICK,112,112,0.0,106,-5.4
ESSEX,CANAAN,972,855,-12.0,745,-23.4
ESSEX,CONCORD,1235,1199,-2.9,1116,-9.6
ESSEX,EAST HAVEN,290,274,-5.5,251,-13.4
ESSEX,GRANBY,88,84,-4.5,77,-12.5
ESSEX,GUILDHALL,261,240,-8.0,216,-17.2
ESSEX,LEMINGTON,104,97,-6.7,88,-15.4
ESSEX,LUNENBURG,1302,1248,-4.1,1151,-11.6
ESSEX,MAIDSTONE,208,281,35.1,339,63.0
ESSEX,NORTON,169,152,-10.1,133,-21.3
ESSEX,VICTORY,62,61,-1.6,56,-9.7
ESSEX,AVERILL,24,46,91.7,73,204.2
ESSEX,AVERY'S GORE,0,0,0.0,0,0.0
ESSEX,FERDINAND,32,33,3.1,32,0.0
ESSEX,LEWIS,0,0,0.0,0,0.0
ESSEX,WARNERS GRANT,0,0,0.0,0,0.0
ESSEX,WARRENS GORE,4,6,50.0,8,100.0
FRANKLIN,BAKERSFIELD,1322,1412,6.8,1483,12.2
FRANKLIN,BERKSHIRE,1692,1882,11.2,2040,20.6
FRANKLIN,ENOSBURGH,2781,2753,-1.0,2750,-1.1
FRANKLIN,FAIRFAX,4285,5016,17.1,5615,31.0
FRANKLIN,FAIRFIELD,1891,1907,0.8,1932,2.2
FRANKLIN,FLETCHER,1277,1363,6.7,1432,12.1
FRANKLIN,FRANKLIN,1405,1495,6.4,1569,11.7
FRANKLIN,GEORGIA,4515,4615,2.2,4710,4.3
FRANKLIN,HIGHGATE,3535,3594,1.7,3656,3.4
FRANKLIN,MONTGOMERY,1201,1342,11.7,1459,21.5
FRANKLIN,RICHFORD,2308,2262,-2.0,2247,-2.6
FRANKLIN,SHELDON,2190,2296,4.8,2387,9.0
FRANKLIN,SAINT ALBANS TOWN,5999,6391,6.5,6718,12.0
FRANKLIN,SAINT ALBANS CITY,6918,6443,-6.9,6179,-10.7
FRANKLIN,SWANTON,6427,6482,0.9,6562,2.1
GRAND ISLE,ALBURGH,1998,2595,29.9,3224,61.4
GRAND ISLE,GRAND ISLE,2067,2585,25.1,3145,52.2
GRAND ISLE,ISLE LA MOTTE,471,566,20.2,670,42.3
GRAND ISLE,NORTH HERO,803,1069,33.1,1345,67.5
GRAND ISLE,SOUTH HERO,1631,1962,20.3,2324,42.5
LAMOILLE,BELVIDERE,348,433,24.4,511,46.8
LAMOILLE,CAMBRIDGE,3659,4396,20.1,5074,38.7
LAMOILLE,EDEN,1323,1650,24.7,1949,47.3
LAMOILLE,ELMORE,855,1028,20.2,1180,38.0
LAMOILLE,HYDE PARK,2954,3394,14.9,3796,28.5
LAMOILLE,JOHNSON,3446,3828,11.1,4198,21.8
LAMOILLE,MORRISTOWN,5227,5777,10.5,6305,20.6
LAMOILLE,STOWE,4314,4916,14.0,5458,26.5
LAMOILLE,WATERVILLE,673,765,13.7,847,25.9
LAMOILLE,WOLCOTT,1676,2011,20.0,2321,38.5
ORANGE,BRADFORD,2797,2907,3.9,2950,5.5
ORANGE,BRAINTREE,1246,1273,2.2,1277,2.5
ORANGE,BROOKFIELD,1292,1363,5.5,1395,8.0
ORANGE,CHELSEA,1238,1252,1.1,1245,0.6
ORANGE,CORINTH,1367,1377,0.7,1363,-0.3
ORANGE,FAIRLEE,977,1001,2.5,1005,2.9
ORANGE,NEWBURY,2216,2342,5.7,2408,8.7
ORANGE,ORANGE,1072,1141,6.4,1177,9.8
ORANGE,RANDOLPH,4778,4745,-0.7,4666,-2.3
ORANGE,STRAFFORD,1098,1164,6.0,1195,8.8
ORANGE,THETFORD,2588,2611,0.9,2592,0.2
ORANGE,TOPSHAM,1173,1245,6.1,1277,8.9
ORANGE,TUNBRIDGE,1284,1309,1.9,1308,1.9
ORANGE,VERSHIRE,730,807,10.5,855,17.1
ORANGE,WASHINGTON,1039,1061,2.1,1062,2.2
ORANGE,WEST FAIRLEE,652,640,-1.8,623,-4.4
ORANGE,WILLIAMSTOWN,3389,3575,5.5,3658,7.9
ORLEANS,ALBANY,941,1017,8.1,1063,13.0
ORLEANS,BARTON,2810,2790,-0.7,2754,-2.0
ORLEANS,BROWNINGTON,988,1111,12.4,1189,20.3
ORLEANS,CHARLESTON,1023,1114,8.9,1170,14.4
ORLEANS,COVENTRY,1086,1197,10.2,1263,16.3
ORLEANS,CRAFTSBURY,1206,1289,6.9,1334,10.6
ORLEANS,DERBY,4621,4676,1.2,4667,1.0
ORLEANS,GLOVER,1122,1265,12.7,1359,21.1
ORLEANS,GREENSBORO,762,775,1.7,774,1.6
ORLEANS,HOLLAND,629,714,13.5,766,21.8
ORLEANS,IRASBURG,1163,1267,8.9,1327,14.1
ORLEANS,JAY,521,596,14.4,647,24.2
ORLEANS,LOWELL,879,1018,15.8,1113,26.6
ORLEANS,MORGAN,749,860,14.8,933,24.6
ORLEANS,NEWPORT CITY,4589,4561,-0.6,4484,-2.3
ORLEANS,NEWPORT TOWN,1594,1684,5.6,1730,8.5
ORLEANS,TROY,1662,1707,2.7,1725,3.8
ORLEANS,WESTFIELD,536,581,8.4,606,13.1
ORLEANS,WESTMORE,350,376,7.4,392,12.0
RUTLAND,BENSON,1056,1115,5.6,1118,5.9
RUTLAND,BRANDON,3966,3883,-2.1,3720,-6.2
RUTLAND,CASTLETON,4717,4887,3.6,4862,3.1
RUTLAND,CHITTENDEN,1258,1310,4.1,1306,3.8
RUTLAND,CLARENDON,2571,2433,-5.4,2272,-11.6
RUTLAND,DANBY,1311,1336,1.9,1311,0.0
RUTLAND,FAIR HAVEN,2734,2629,-3.8,2481,-9.3
RUTLAND,HUBBARDTON,706,732,3.7,723,2.4
RUTLAND,IRA,432,424,-1.9,406,-6.0
RUTLAND,MENDON,1059,1060,0.1,1030,-2.7
RUTLAND,MIDDLETOWN SPRINGS,745,740,-0.7,712,-4.4
RUTLAND,MOUNT HOLLY,1237,1265,2.3,1244,0.6
RUTLAND,MOUNT TABOR,255,282,10.6,295,15.7
RUTLAND,PAWLET,1477,1530,3.6,1520,2.9
RUTLAND,PITTSFIELD,546,630,15.4,677,24.0
RUTLAND,PITTSFORD,2991,2950,-1.4,2829,-5.4
RUTLAND,POULTNEY,3432,3340,-2.7,3176,-7.5
RUTLAND,PROCTOR,1741,1640,-5.8,1528,-12.2
RUTLAND,RUTLAND CITY,16495,15757,-4.5,14825,-10.1
RUTLAND,RUTLAND TOWN,4054,4094,1.0,3995,-1.5
RUTLAND,KILLINGTON,811,797,-1.7,754,-7.0
RUTLAND,SHREWSBURY,1056,1022,-3.2,969,-8.2
RUTLAND,SUDBURY,560,562,0.4,545,-2.7
RUTLAND,TINMOUTH,613,670,9.3,689,12.4
RUTLAND,WALLINGFORD,2079,1993,-4.1,1875,-9.8
RUTLAND,WELLS,1150,1224,6.4,1235,7.4
RUTLAND,WEST HAVEN,264,256,-3.0,243,-8.0
RUTLAND,WEST RUTLAND,2326,2230,-4.1,2099,-9.8
WASHINGTON,BARRE TOWN,7924,8116,2.4,8252,4.1
WASHINGTON,BARRE CITY,9052,8864,-2.1,8743,-3.4
WASHINGTON,BERLIN,2887,2974,3.0,3029,4.9
WASHINGTON,CABOT,1433,1615,12.7,1753,22.3
WASHINGTON,CALAIS,1607,1645,2.4,1672,4.0
WASHINGTON,DUXBURY,1337,1464,9.5,1550,15.9
WASHINGTON,EAST MONTPELIER,2576,2664,3.4,2718,5.5
WASHINGTON,FAYSTON,1353,1590,17.5,1772,31.0
WASHINGTON,MARSHFIELD,1588,1680,5.8,1744,9.8
WASHINGTON,MIDDLESEX,1731,1787,3.2,1823,5.3
WASHINGTON,MONTPELIER,7855,7694,-2.0,7591,-3.4
WASHINGTON,MORETOWN,1658,1724,4.0,1766,6.5
WASHINGTON,NORTHFIELD,6207,6458,4.0,6638,6.9
WASHINGTON,PLAINFIELD,1243,1215,-2.3,1196,-3.8
WASHINGTON,ROXBURY,691,757,9.6,809,17.1
WASHINGTON,WAITSFIELD,1719,1815,5.6,1880,9.4
WASHINGTON,WARREN,1705,1895,11.1,2023,18.7
WASHINGTON,WATERBURY,5064,5213,2.9,5314,4.9
WASHINGTON,WOODBURY,906,970,7.1,1016,12.1
WASHINGTON,WORCESTER,998,1046,4.8,1083,8.5
WINDHAM,ATHENS,442,527,19.2,591,33.7
WINDHAM,BRATTLEBORO,12046,12244,1.6,12271,1.9
WINDHAM,BROOKLINE,530,598,12.8,642,21.1
WINDHAM,DOVER,1124,1150,2.3,1145,1.9
WINDHAM,DUMMERSTON,1864,1889,1.3,1886,1.2
WINDHAM,GRAFTON,679,721,6.2,744,9.6
WINDHAM,GUILFORD,2121,2231,5.2,2286,7.8
WINDHAM,HALIFAX,728,777,6.7,800,9.9
WINDHAM,JAMAICA,1035,1171,13.1,1258,21.5
WINDHAM,LONDONDERRY,1769,1895,7.1,1964,11.0
WINDHAM,MARLBORO,1078,1170,8.5,1227,13.8
WINDHAM,NEWFANE,1726,1819,5.4,1865,8.1
WINDHAM,PUTNEY,2702,2872,6.3,2960,9.5
WINDHAM,ROCKINGHAM,5282,5329,0.9,5315,0.6
WINDHAM,STRATTON,216,291,34.7,357,65.3
WINDHAM,TOWNSHEND,1232,1341,8.8,1405,14.0
WINDHAM,VERNON,2206,2370,7.4,2460,11.5
WINDHAM,WARDSBORO,900,1011,12.3,1081,20.1
WINDHAM,WESTMINSTER,3178,3273,3.0,3304,4.0
WINDHAM,WHITINGHAM,1357,1450,6.9,1501,10.6
WINDHAM,WILMINGTON,1876,1826,-2.7,1769,-5.7
WINDHAM,WINDHAM,419,518,23.6,594,41.8
WINDHAM,SOMERSET,3,4,33.3,4,33.3
WINDSOR,ANDOVER,467,506,8.4,528,13.1
WINDSOR,BALTIMORE,244,268,9.8,282,15.6
WINDSOR,BARNARD,947,994,5.0,1018,7.5
WINDSOR,BETHEL,2030,2151,6.0,2223,9.5
WINDSOR,BRIDGEWATER,936,965,3.1,977,4.4
WINDSOR,CAVENDISH,1367,1398,2.3,1406,2.9
WINDSOR,CHESTER,3154,3366,6.7,3494,10.8
WINDSOR,HARTFORD,9952,10302,3.5,10457,5.1
WINDSOR,HARTLAND,3393,3653,7.7,3815,12.4
WINDSOR,LUDLOW,1963,1855,-5.5,1770,-9.8
WINDSOR,NORWICH,3414,3579,4.8,3661,7.2
WINDSOR,PLYMOUTH,619,715,15.5,782,26.3
WINDSOR,POMFRET,904,923,2.1,928,2.7
WINDSOR,READING,666,692,3.9,703,5.6
WINDSOR,ROCHESTER,1139,1155,1.4,1158,1.7
WINDSOR,ROYALTON,2773,3011,8.6,3163,14.1
WINDSOR,SHARON,1502,1659,10.5,1761,17.2
WINDSOR,SPRINGFIELD,9373,9683,3.3,9852,5.1
WINDSOR,STOCKBRIDGE,736,809,9.9,858,16.6
WINDSOR,WEATHERSFIELD,2825,2959,4.7,3033,7.4
WINDSOR,WESTON,566,596,5.3,609,7.6
WINDSOR,WEST WINDSOR,1099,1192,8.5,1250,13.7
WINDSOR,WINDSOR,3553,3571,0.5,3560,0.2
WINDSOR,WOODSTOCK,3048,3055,0.2,3040,-0.3
